id,hr_dtst_env_sd,tonic_dtst_env_sd,pulse_amplitude_dtst_env_sd,skt_dtst_env_sd,tsv_20minus10_env_sd,m2_20minus10_env_sd,p7_minus_m7_overall_mean,p7_minus_m7_env_sd,eup5,eup16
1,0.03379490981862108,-0.006617121775513602,-0.6962508620150634,-0.215143901547329,-0.6467312864451916,-1.105906883652948,0.07323665534763596,-0.8055917327224075,0.9031823705914342,-0.7506870594641591
2,0.11890537546546243,-0.2057428579839216,0.21049773739220232,-0.1798723891409864,-0.8135791066922773,0.0382229824855862,0.4299353452116893,0.7170667375486571,-1.3026668806607224,0.03076586309279335
3,0.43160557808505967,-0.1381207522002253,-0.47184337021548306,-0.46430031955828976,-0.8760109114134319,-0.8857189882519569,0.19213621863565372,-0.5194666849263802,0.16789928684071537,0.03076586309279335
4,-0.07834873029456516,0.7051033567928827,-0.4269381404436703,0.5914812184970553,0.241665832022297,0.48189061055660154,0.07323665534763596,-0.8055917327224075,-1.3026668806607224,-0.7506870594641591
5,-0.09198839139684255,0.04341031468235396,1.0162293373769233,0.03996714275032967,0.2703466436091756,-0.34315363956059186,-0.28346203451641744,0.22445843934329077,-0.5673837969100035,0.03076586309279335
6,0.5923036221768418,-0.2887363549022003,-0.21805603462088172,-0.1278206069508746,-0.8135791066922773,-1.105906883652948,0.07323665534763596,-0.8055917327224075,0.9031823705914342,0.03076586309279335
7,0.5643219545903172,0.2395089780784886,0.5180549271982442,-0.1324726780839404,-0.6467312864451916,1.4900701174153148,-0.16456247122839965,-0.11889161801194183,0.9031823705914342,-0.7506870594641591
8,0.8340307821880417,-0.32620125334685884,0.03640833246370824,1.0103884312089364,0.660444463992605,0.762449364025872,-0.6401607243804709,0.383807755519495,0.16789928684071537,-0.7506870594641591
9,0.03717434227067119,0.3644989409926888,0.3599609191604988,-0.006415205521843943,-0.004378586620948333,-0.37562625122983934,0.19213621863565372,-0.46224167536717453,0.9031823705914342,-0.7506870594641591
10,-0.22911048658657626,-0.10917128677968968,-0.47399492274692573,-0.0995139833955316,-0.8135791066922773,-0.37562625122983934,-0.28346203451641744,-0.14812642799922085,-1.3026668806607224,1.5936717082066985
